WAVE_ID,Hits,eCount,FireRate1,ShotSpeed1,Health1,FireRate2,ShotSpeed2,Health2,FireRate3,ShotSpeed3,Health3,FireRate4,ShotSpeed4,Health4,FireRate5,ShotSpeed5,Health5,FireRate6,ShotSpeed6,Health6
3136,15,6,47.0,0.02078242,10,118.0,0.02586622,6,14.0,0.03826274,3,15.0,0.5065426,24,29.0,0.2273948,11,120.0,0.1913606,24
3140,18,6,67.0,0.2363905,5,120.0,0.1065656,12,49.0,0.2555258,16,94.0,0.2111426,17,45.0,0.2738222,27,28.0,0.3506095,18
3159,17,6,75.0,0.01977844,4,97.0,0.169614,26,33.0,0.4939933,6,45.0,0.249002,6,96.0,0.1205139,25,88.0,0.3198256,7
3162,11,6,12.0,0.05531897,6,62.0,0.1478246,2,30.0,0.1444406,27,95.0,0.2471553,20,66.0,0.4344699,20,105.0,0.3579607,3
3163,14,6,105.0,0.1814982,25,105.0,0.4858913,6,68.0,0.1713075,11,38.0,0.06228746,16,89.0,0.02913601,5,65.0,0.02438499,7
3182,19,6,21.0,0.03316415,13,55.0,0.488749,21,91.0,0.4443176,13,65.0,0.03288401,18,86.0,0.2637213,6,98.0,0.3355819,21
3185,10,6,26.0,0.306229,20,69.0,0.09097417,2,47.0,0.08134218,6,26.0,0.4768691,24,11.0,0.2724832,13,112.0,0.4024747,27
3192,4,6,10.0,0.07136144,7,101.0,0.509509,2,83.0,0.2563842,8,115.0,0.449077,11,12.0,0.1843609,5,46.0,0.1850579,5
3200,9,6,52.0,0.5050728,6,85.0,0.4385598,12,11.0,0.3791398,14,54.0,0.07567389,19,17.0,0.170285,23,81.0,0.4886714,14
3202,22,6,79.0,0.3770104,26,95.0,0.2929399,12,117.0,0.4619609,26,57.0,0.4993024,13,89.0,0.2667422,22,118.0,0.2071906,28
3203,15,6,24.0,0.1695049,14,96.0,0.5056527,27,6.0,0.3929304,24,84.0,0.03516664,15,17.0,0.05682875,19,22.0,0.2127697,23
3209,8,6,101.0,0.5094325,12,117.0,0.05230834,3,111.0,0.04532613,18,66.0,0.01217444,4,69.0,0.06618454,19,42.0,0.06537397,9
3210,24,6,111.0,0.257329,26,11.0,0.01423008,11,64.0,0.5028813,5,14.0,0.1125276,24,109.0,0.3460998,6,19.0,0.04474582,5
3215,26,6,60.0,0.3787635,9,93.0,0.1352477,29,36.0,0.4125527,26,29.0,0.2477035,12,49.0,0.4708978,10,28.0,0.036155,29
3225,14,6,83.0,0.07984151,9,64.0,0.2309121,10,118.0,0.2141632,26,73.0,0.1422566,27,84.0,0.4021212,15,108.0,0.311289,23
3234,20,6,22.0,0.3090372,24,83.0,0.1948101,22,78.0,0.08826466,12,89.0,0.3072161,12,58.0,0.1652116,13,23.0,0.07540192,5
3235,10,6,110.0,0.03646757,4,51.0,0.2402235,5,87.0,0.4828078,13,20.0,0.06132014,8,45.0,0.3704108,11,55.0,0.03299416,13
3243,23,6,71.0,0.07341988,26,79.0,0.4877489,14,73.0,0.1260258,18,27.0,0.01040102,3,15.0,0.3810056,29,21.0,0.1293205,7
3249,21,6,30.0,0.3622538,18,77.0,0.4416658,19,112.0,0.2155732,6,85.0,0.2820515,19,98.0,0.4057069,11,40.0,0.4624368,16
3255,10,6,20.0,0.268369,8,45.0,0.2199119,2,39.0,0.3276686,2,73.0,0.3079698,8,112.0,0.1998741,18,91.0,0.3536238,20
3266,12,6,58.0,0.348381,8,8.0,0.2449646,19,105.0,0.1194049,15,85.0,0.06039764,21,63.0,0.2943904,16,42.0,0.4643394,15
3271,32,6,16.0,0.4313337,28,91.0,0.3858753,22,94.0,0.07760598,24,25.0,0.493815,10,7.0,0.04214014,23,12.0,0.3478634,15
3292,11,6,116.0,0.05389924,17,46.0,0.07452662,14,85.0,0.2419236,6,5.0,0.2418152,11,120.0,0.2459913,24,58.0,0.4174972,27
3294,32,6,18.0,0.4164782,21,82.0,0.01278491,26,39.0,0.2976482,29,47.0,0.2932523,11,15.0,0.3754356,10,119.0,0.01913489,13
3303,15,6,66.0,0.2708219,16,72.0,0.04293151,8,100.0,0.4400892,5,55.0,0.1128428,5,24.0,0.0798706,22,72.0,0.1209075,23
3314,26,6,24.0,0.3336499,10,66.0,0.2062112,17,35.0,0.4625825,8,23.0,0.1765235,13,110.0,0.4877229,19,14.0,0.2976858,29
3319,15,6,21.0,0.0753888,4,106.0,0.2858104,14,96.0,0.4999449,16,54.0,0.156764,15,39.0,0.1836821,7,103.0,0.2249972,13
3329,32,6,43.0,0.152539,26,117.0,0.01466281,17,89.0,0.2993574,29,113.0,0.1338355,11,7.0,0.05856515,24,64.0,0.4118828,12
3333,12,6,16.0,0.2330582,10,102.0,0.4905396,14,22.0,0.1849755,9,42.0,0.3925974,13,101.0,0.0742199,16,45.0,0.1425736,2
3338,8,6,116.0,0.48212,17,77.0,0.3094921,10,5.0,0.2077213,20,22.0,0.1869303,7,51.0,0.2021799,17,54.0,0.4315919,2
3344,15,6,15.0,0.4949235,13,55.0,0.1468413,27,78.0,0.178541,2,101.0,0.3456288,26,60.0,0.4291732,5,62.0,0.1273873,15
3345,14,6,51.0,0.1603788,2,30.0,0.3342382,14,87.0,0.3417192,14,39.0,0.178464,3,94.0,0.2431777,26,6.0,0.1820264,28
3348,14,6,104.0,0.3918768,26,105.0,0.05793436,17,28.0,0.2008615,23,118.0,0.1754754,2,112.0,0.02363665,5,114.0,0.2382652,27
3354,10,6,12.0,0.3351265,2,113.0,0.1460191,3,110.0,0.3752522,7,63.0,0.03811891,21,117.0,0.01776863,2,26.0,0.2437382,21
3356,20,6,110.0,0.02115459,22,19.0,0.3373564,21,111.0,0.2975554,4,27.0,0.09051873,9,104.0,0.1229496,28,120.0,0.1334545,6
3359,14,6,46.0,0.2084731,23,57.0,0.02661676,8,92.0,0.07392175,5,58.0,0.1201185,16,9.0,0.3996603,7,62.0,0.4063015,23
3368,18,6,11.0,0.1347959,5,107.0,0.3875016,25,105.0,0.1722635,26,101.0,0.4348122,8,116.0,0.4455389,12,88.0,0.4780603,24
3369,14,6,65.0,0.02768214,1,112.0,0.06497724,18,99.0,0.3123639,11,39.0,0.2500781,8,24.0,0.3679991,6,47.0,0.2707066,30
3371,14,6,79.0,0.3024698,7,117.0,0.2646415,22,55.0,0.2737876,14,98.0,0.1796294,7,115.0,0.304991,10,35.0,0.1602595,13
3374,17,6,57.0,0.1940195,5,95.0,0.3261605,3,20.0,0.4310251,8,112.0,0.3463294,27,49.0,0.1747514,29,23.0,0.04130979,27
3375,22,6,77.0,0.4312444,5,54.0,0.2067843,17,25.0,0.1558227,24,31.0,0.3180594,19,25.0,0.4870052,4,69.0,0.2621791,29
3377,13,6,101.0,0.3803357,17,42.0,0.4290949,16,7.0,0.3844616,22,91.0,0.3360789,6,24.0,0.0768903,25,115.0,0.06466414,28
3385,14,6,89.0,0.5002141,10,40.0,0.1242341,17,11.0,0.1947128,17,18.0,0.3953188,9,46.0,0.3764566,15,47.0,0.1790442,7
3386,38,6,102.0,0.0615737,28,62.0,0.4255036,30,92.0,0.184661,23,112.0,0.4037893,22,88.0,0.3345881,17,27.0,0.2811125,20
3393,18,6,47.0,0.1985807,11,55.0,0.1419202,19,41.0,0.4168885,15,10.0,0.456169,8,87.0,0.09318782,12,115.0,0.4613143,22
3397,11,6,108.0,0.2875878,15,42.0,0.1829539,17,75.0,0.3400638,23,24.0,0.2201767,7,77.0,0.09857173,11,86.0,0.1106626,20
3404,18,6,112.0,0.2740741,23,104.0,0.2029442,20,72.0,0.3648374,22,117.0,0.4822275,24,69.0,0.2503164,18,82.0,0.3326227,9
3414,11,6,77.0,0.1020988,11,23.0,0.237685,8,28.0,0.3319986,11,12.0,0.2792843,21,68.0,0.3805238,26,115.0,0.4819641,9
3416,10,6,87.0,0.1720878,22,91.0,0.3584575,3,39.0,0.199106,6,118.0,0.4419889,22,99.0,0.1617499,2,82.0,0.120135,24
3431,32,6,91.0,0.04183336,4,75.0,0.2018459,20,81.0,0.4938221,23,84.0,0.2896818,25,65.0,0.09594019,22,40.0,0.4970298,24
3432,15,6,51.0,0.1990598,6,22.0,0.4075698,29,63.0,0.399653,10,74.0,0.379515,28,87.0,0.04252322,11,74.0,0.3488996,4
3434,22,6,52.0,0.3395653,17,73.0,0.2035686,6,91.0,0.3748904,28,106.0,0.4159983,3,38.0,0.1367809,28,114.0,0.5011601,19
3439,21,6,24.0,0.2319929,18,68.0,0.4686142,4,26.0,0.1796595,14,114.0,0.07973559,26,39.0,0.1524267,25,65.0,0.4526007,11
3441,17,6,51.0,0.4560527,13,109.0,0.1202837,2,73.0,0.1204245,7,116.0,0.04529156,20,23.0,0.3308013,1,55.0,0.3151204,19
3454,17,6,46.0,0.08159031,5,65.0,0.1380366,23,55.0,0.3579458,19,15.0,0.4728626,21,26.0,0.1034717,21,84.0,0.09432627,10
3457,22,6,67.0,0.106956,12,91.0,0.3523212,21,103.0,0.3802578,25,52.0,0.06243797,12,93.0,0.1302881,14,34.0,0.3226502,19
3460,23,6,12.0,0.05467875,25,113.0,0.09792997,5,113.0,0.5037761,10,51.0,0.1148573,19,112.0,0.2992035,17,39.0,0.02873547,16
3462,20,6,80.0,0.3313316,24,34.0,0.1555245,30,54.0,0.3879359,10,93.0,0.1501212,26,101.0,0.4737102,12,83.0,0.03990711,19
3466,24,6,47.0,0.02129997,15,42.0,0.4098583,18,31.0,0.4768835,28,16.0,0.3472392,26,87.0,0.3402248,8,55.0,0.1605275,24
3470,16,6,30.0,0.1553929,29,82.0,0.1875094,7,36.0,0.04769416,16,50.0,0.01943351,15,32.0,0.4020689,5,90.0,0.4828783,19
3473,35,6,54.0,0.4286082,30,116.0,0.4703454,29,116.0,0.3845939,21,99.0,0.336017,20,40.0,0.4795849,21,54.0,0.2943664,9
3478,24,6,53.0,0.1687532,6,53.0,0.08114202,3,69.0,0.2651558,21,108.0,0.5002224,23,43.0,0.2218651,20,55.0,0.4979302,18
3488,16,6,37.0,0.3848496,13,24.0,0.4887567,17,65.0,0.2676913,15,40.0,0.2493839,18,30.0,0.130039,9,63.0,0.2853244,23
3490,16,6,106.0,0.02262403,5,113.0,0.03722276,29,65.0,0.2746478,11,16.0,0.3378563,5,26.0,0.08402301,8,118.0,0.3101749,13
3493,13,6,86.0,0.1445055,12,87.0,0.3140688,2,35.0,0.1779596,26,60.0,0.3213865,1,102.0,0.474988,6,56.0,0.0223117,20
3509,10,6,102.0,0.4964164,3,7.0,0.2641715,5,90.0,0.199851,12,57.0,0.0896367,25,31.0,0.1286676,30,97.0,0.4138659,26
3521,15,6,43.0,0.5074776,19,36.0,0.03944071,24,78.0,0.3242773,5,25.0,0.3656456,24,112.0,0.1496457,16,10.0,0.1801983,3
3526,8,6,51.0,0.02385105,7,45.0,0.08382554,14,47.0,0.162004,3,66.0,0.3275283,8,24.0,0.4880807,6,103.0,0.4333712,25
3529,23,6,49.0,0.4535568,5,23.0,0.2251639,8,85.0,0.3509037,25,103.0,0.07934107,10,59.0,0.2718877,26,31.0,0.2769472,28
3532,15,6,114.0,0.2691904,21,52.0,0.1526252,19,71.0,0.3116155,13,91.0,0.2700383,21,20.0,0.2227794,20,9.0,0.1928878,20
3535,20,6,59.0,0.2405298,8,49.0,0.314189,21,30.0,0.3017525,7,29.0,0.4925404,27,53.0,0.3582934,29,120.0,0.3466586,9
3536,19,6,21.0,0.1151602,19,49.0,0.03640826,23,12.0,0.1829188,4,17.0,0.3155695,9,7.0,0.04511757,23,41.0,0.4009032,15
3539,14,6,100.0,0.4166462,19,40.0,0.05089416,6,74.0,0.1804699,19,67.0,0.01411636,24,6.0,0.4646668,18,68.0,0.3571119,17
3543,22,6,22.0,0.02005536,7,8.0,0.2569786,23,115.0,0.4008675,23,82.0,0.2250318,28,52.0,0.4360142,23,54.0,0.3428334,12
3544,22,6,103.0,0.482279,7,68.0,0.1980488,29,51.0,0.3212911,13,87.0,0.04125686,16,19.0,0.08849074,3,66.0,0.3288493,22
3555,14,6,101.0,0.4534936,10,95.0,0.1065618,6,65.0,0.06109186,25,40.0,0.01709313,3,39.0,0.1585793,21,90.0,0.3760752,9
3563,17,6,114.0,0.1604613,29,87.0,0.4593968,25,9.0,0.09288169,27,86.0,0.2403061,18,24.0,0.1186756,5,52.0,0.4700832,2
3564,10,6,31.0,0.1801024,25,22.0,0.07975323,17,83.0,0.4468441,6,105.0,0.3616951,3,66.0,0.1221478,6,12.0,0.1618799,12
3569,13,6,38.0,0.180283,7,70.0,0.2216098,7,112.0,0.4355386,23,38.0,0.07289298,15,8.0,0.1585797,28,55.0,0.3682204,28
3572,20,6,34.0,0.504029,27,38.0,0.1829166,19,91.0,0.239389,10,29.0,0.4255106,5,77.0,0.1721081,4,85.0,0.04331763,9
3573,15,6,103.0,0.3721173,12,111.0,0.2515268,3,94.0,0.4246242,13,49.0,0.4233649,23,107.0,0.2481522,21,98.0,0.2879779,17
3578,9,6,104.0,0.1906941,28,6.0,0.2295014,12,22.0,0.4003294,8,107.0,0.2286062,4,42.0,0.305611,21,20.0,0.1069749,15
3594,23,6,60.0,0.1200002,13,40.0,0.1224622,20,13.0,0.4197339,28,92.0,0.01104111,28,99.0,0.3321967,2,107.0,0.2164538,27
3613,18,6,96.0,0.4260113,20,23.0,0.153572,7,34.0,0.1044052,25,95.0,0.06384762,17,82.0,0.1503698,8,81.0,0.1545263,23
3629,9,6,49.0,0.02016915,28,115.0,0.2786478,10,90.0,0.106862,22,111.0,0.1258838,26,36.0,0.2919307,24,6.0,0.3520465,28
3634,15,6,90.0,0.4437535,9,62.0,0.43771,10,83.0,0.4360504,9,10.0,0.3215441,29,84.0,0.1801338,16,111.0,0.06460889,7
3638,20,6,20.0,0.3811211,3,81.0,0.387656,6,114.0,0.02534027,28,71.0,0.2455024,21,103.0,0.2913246,19,28.0,0.2168541,20
3639,16,6,74.0,0.2529546,13,58.0,0.387726,23,74.0,0.05423029,13,111.0,0.2822216,30,63.0,0.04835339,16,87.0,0.124932,5
3663,21,6,105.0,0.3355369,17,53.0,0.3046609,18,89.0,0.2493393,23,85.0,0.454794,7,8.0,0.4872547,19,85.0,0.3742072,2
3664,20,6,39.0,0.07329334,26,95.0,0.1471317,24,51.0,0.07585658,16,96.0,0.0428427,14,36.0,0.2245824,19,75.0,0.2919898,9
3675,3,6,111.0,0.4091792,23,27.0,0.1442025,5,19.0,0.4680701,26,25.0,0.1417513,2,7.0,0.2700129,18,83.0,0.117012,7
3689,30,6,34.0,0.1815136,8,110.0,0.04052021,28,115.0,0.3240401,9,107.0,0.1269239,29,68.0,0.01123996,23,13.0,0.4518165,18
3692,10,6,54.0,0.02850379,9,74.0,0.3178262,21,83.0,0.2257625,8,71.0,0.2888919,6,9.0,0.2769138,14,50.0,0.08305945,10
3697,19,6,77.0,0.1637597,26,8.0,0.4773684,19,42.0,0.3621612,1,14.0,0.4078956,16,26.0,0.345554,28,76.0,0.1287189,17
3699,16,6,84.0,0.3213389,24,19.0,0.2996027,3,46.0,0.01745148,9,30.0,0.3962592,13,118.0,0.2065438,14,106.0,0.2115034,6
3704,23,6,46.0,0.3808614,14,10.0,0.4527127,30,50.0,0.3184079,17,59.0,0.104841,21,10.0,0.0942948,10,107.0,0.1049098,27
3708,19,6,44.0,0.1894905,23,93.0,0.3270769,11,110.0,0.4937772,18,63.0,0.1551482,26,108.0,0.3082903,12,96.0,0.2628765,17
3716,31,6,119.0,0.2670573,23,74.0,0.07564045,29,106.0,0.3700513,15,60.0,0.418231,17,76.0,0.1926048,23,41.0,0.3350321,25
3725,19,6,27.0,0.2266621,13,30.0,0.1973442,28,114.0,0.3639022,2,67.0,0.2914653,24,19.0,0.1204496,30,111.0,0.1268647,3
3736,18,6,80.0,0.2595598,4,86.0,0.4742666,18,70.0,0.04428042,7,99.0,0.3054338,25,85.0,0.1621278,22,48.0,0.2622366,15
3748,23,6,10.0,0.3960428,12,83.0,0.1835283,28,33.0,0.277344,11,82.0,0.4088085,14,109.0,0.0435694,12,67.0,0.2273807,13
3750,14,6,26.0,0.5071937,6,104.0,0.3294912,3,102.0,0.1594467,21,80.0,0.5090043,8,69.0,0.2479434,5,67.0,0.4749159,17
3761,8,6,79.0,0.4174747,26,33.0,0.3053546,11,8.0,0.4236971,12,100.0,0.1826435,25,64.0,0.3499022,8,66.0,0.1197267,3
3764,18,6,13.0,0.1312319,12,111.0,0.08755185,19,45.0,0.1662277,16,25.0,0.16153,29,88.0,0.1666657,4,82.0,0.3658795,9
3765,28,6,99.0,0.1660571,14,101.0,0.1710421,26,50.0,0.2570815,26,59.0,0.3151461,23,62.0,0.3592848,25,108.0,0.2548865,18
3774,8,6,114.0,0.3480075,4,31.0,0.2105716,2,10.0,0.4725539,23,44.0,0.4674745,5,38.0,0.1762441,14,117.0,0.207864,22
3775,23,6,70.0,0.4182684,7,13.0,0.4863331,23,79.0,0.2905741,26,96.0,0.03661741,21,99.0,0.02738268,15,94.0,0.3790679,20
3776,17,6,63.0,0.3013545,8,64.0,0.1719307,27,118.0,0.2090386,19,38.0,0.4877437,11,68.0,0.32748,10,11.0,0.4347365,6
3785,23,6,107.0,0.04720415,24,84.0,0.4601426,30,59.0,0.3931211,3,92.0,0.3333535,23,48.0,0.336461,17,101.0,0.2440485,23
3787,28,6,60.0,0.2991619,26,14.0,0.1200318,19,113.0,0.3195366,14,59.0,0.5028889,17,25.0,0.4322615,9,43.0,0.142328,7
3791,16,6,106.0,0.46207,14,96.0,0.4460386,2,37.0,0.480687,14,117.0,0.2080257,12,33.0,0.1889351,13,35.0,0.02995903,16
3804,24,6,41.0,0.3112139,5,115.0,0.06353654,18,102.0,0.09728684,8,44.0,0.05110849,25,95.0,0.5030168,24,17.0,0.4085348,13
3805,17,6,9.0,0.1397114,15,113.0,0.3556439,9,41.0,0.2809029,9,7.0,0.1094016,28,73.0,0.1112141,21,93.0,0.04953732,16
