Hits,eCount,FireRate1,ShotSpeed1,Health1,FireRate2,ShotSpeed2,Health2,FireRate3,ShotSpeed3,Health3,FireRate4,ShotSpeed4,Health4,FireRate5,ShotSpeed5,Health5,FireRate6,ShotSpeed6,Health6
15,6,89.0,0.05774523,28,55.0,0.1297111,9,37.0,0.3789701,3,67.0,0.497486,1,119.0,0.3176049,5,9.0,0.04794164,9
11,3,48.0,0.2686819,24,38.0,0.4040691,17,46.0,0.3516012,28,0,0,0,0,0,0,0,0,0
2,1,113.0,0.1921885,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2,36.0,0.2818942,14,99.0,0.2093108,4,0,0,0,0,0,0,0,0,0,0,0,0
1,2,56.0,0.2138737,3,30.0,0.1181562,24,0,0,0,0,0,0,0,0,0,0,0,0
0,2,116.0,0.0542338,3,91.0,0.4942766,11,0,0,0,0,0,0,0,0,0,0,0,0
12,5,106.0,0.3022217,9,105.0,0.08318086,17,88.0,0.05236937,24,120.0,0.09489276,28,85.0,0.4669636,25,0,0,0
14,5,108.0,0.4682773,7,64.0,0.3689159,18,52.0,0.3186406,22,79.0,0.06895293,8,60.0,0.0277958,9,0,0,0
2,3,6.0,0.384699,11,86.0,0.4299135,2,56.0,0.4787248,20,0,0,0,0,0,0,0,0,0
0,1,58.0,0.3014661,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,5,35.0,0.3463102,21,14.0,0.1716314,16,101.0,0.4030748,11,15.0,0.2010932,14,40.0,0.3557583,28,0,0,0
5,3,118.0,0.3032316,28,108.0,0.1971415,25,105.0,0.1827273,9,0,0,0,0,0,0,0,0,0
6,5,98.0,0.4889208,3,102.0,0.06672753,15,29.0,0.1783657,2,91.0,0.2175999,6,23.0,0.1471105,25,0,0,0
3,3,75.0,0.03689243,2,49.0,0.1630523,12,105.0,0.2922879,8,0,0,0,0,0,0,0,0,0
4,2,101.0,0.4983085,7,10.0,0.3770551,12,0,0,0,0,0,0,0,0,0,0,0,0
5,1,31.0,0.3439329,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,4,95.0,0.4684816,27,7.0,0.4022323,5,30.0,0.2751468,29,77.0,0.3679967,8,0,0,0,0,0,0
5,3,69.0,0.3317026,9,76.0,0.4694684,2,24.0,0.08686222,20,0,0,0,0,0,0,0,0,0
13,3,6.0,0.09685822,26,92.0,0.2793342,25,56.0,0.4990515,22,0,0,0,0,0,0,0,0,0
22,6,25.0,0.4571443,5,93.0,0.3510836,21,22.0,0.3333993,11,87.0,0.3399349,23,91.0,0.3243323,12,33.0,0.358563,18
21,5,61.0,0.2330766,23,79.0,0.1779129,20,88.0,0.09501584,4,12.0,0.4880053,19,103.0,0.1516269,4,0,0,0
16,5,114.0,0.1753561,15,35.0,0.2971854,12,41.0,0.4191732,17,103.0,0.05976744,17,67.0,0.3973993,15,0,0,0
21,5,33.0,0.3825761,1,109.0,0.4478111,28,86.0,0.4491047,16,28.0,0.4915653,17,21.0,0.05316682,17,0,0,0
1,1,119.0,0.4474178,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,3,74.0,0.4882475,19,97.0,0.07717241,8,71.0,0.1081454,15,0,0,0,0,0,0,0,0,0
14,4,52.0,0.3304471,19,66.0,0.1541822,28,107.0,0.04736759,9,111.0,0.3486489,28,0,0,0,0,0,0
11,5,32.0,0.2140607,15,53.0,0.3561997,3,102.0,0.1615739,20,94.0,0.1092146,21,49.0,0.2995658,4,0,0,0
15,4,48.0,0.349904,28,113.0,0.1222916,26,89.0,0.4332478,6,33.0,0.02154357,25,0,0,0,0,0,0
1,1,114.0,0.1213417,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,5,63.0,0.1585558,6,50.0,0.3537054,25,23.0,0.3313672,9,110.0,0.4981762,16,20.0,0.4142874,16,0,0,0
4,3,94.0,0.08476199,3,119.0,0.4698582,9,39.0,0.4385251,26,0,0,0,0,0,0,0,0,0
13,5,77.0,0.06829591,4,96.0,0.2001166,21,100.0,0.09545811,16,40.0,0.01249612,2,32.0,0.1906796,21,0,0,0
12,3,21.0,0.0428936,25,119.0,0.2752943,14,7.0,0.09598662,14,0,0,0,0,0,0,0,0,0
22,6,102.0,0.4280929,1,96.0,0.106463,9,15.0,0.3828304,28,77.0,0.2835938,4,53.0,0.3098351,26,46.0,0.3558908,5
6,3,47.0,0.2705541,15,5.0,0.2752614,12,38.0,0.4178882,24,0,0,0,0,0,0,0,0,0
0,2,24.0,0.4054114,7,82.0,0.1713717,5,0,0,0,0,0,0,0,0,0,0,0,0
26,5,39.0,0.1424467,10,116.0,0.03174497,29,40.0,0.2267548,29,36.0,0.4942015,21,41.0,0.3869595,11,0,0,0
16,6,113.0,0.357848,12,27.0,0.3977981,24,74.0,0.3377074,24,34.0,0.112754,25,40.0,0.2176638,22,6.0,0.4870501,6
15,4,83.0,0.2242283,18,65.0,0.4165891,7,114.0,0.1752845,26,22.0,0.2893613,23,0,0,0,0,0,0
24,6,8.0,0.2781188,7,9.0,0.3795994,19,89.0,0.2091818,27,34.0,0.266482,26,93.0,0.1825236,29,102.0,0.1140142,10
10,5,29.0,0.1354308,10,62.0,0.2960049,13,55.0,0.3459665,4,73.0,0.1516599,6,37.0,0.4749488,4,0,0,0
15,6,49.0,0.2196656,22,102.0,0.08298333,7,61.0,0.3923371,3,86.0,0.3814839,29,66.0,0.3593509,19,87.0,0.3366953,7
18,6,81.0,0.3921878,7,33.0,0.1549137,6,111.0,0.4435027,28,41.0,0.3056277,1,31.0,0.1827807,26,62.0,0.3623786,15
14,5,118.0,0.4750928,25,13.0,0.1911525,25,37.0,0.3639535,7,82.0,0.2202844,5,24.0,0.110271,26,0,0,0
4,4,50.0,0.3877986,1,101.0,0.4852857,4,101.0,0.0184647,15,87.0,0.4663299,6,0,0,0,0,0,0
5,2,119.0,0.35967,27,70.0,0.08655788,29,0,0,0,0,0,0,0,0,0,0,0,0
7,1,23.0,0.5074052,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,6,57.0,0.4601609,23,93.0,0.3832861,6,96.0,0.3543393,17,19.0,0.4717509,5,56.0,0.2526433,20,80.0,0.4180624,22
20,5,53.0,0.02308751,23,105.0,0.06045933,17,59.0,0.2073881,5,113.0,0.2116496,24,63.0,0.4289184,28,0,0,0
31,5,30.0,0.2599857,26,98.0,0.2715405,28,77.0,0.3931087,16,48.0,0.1302861,18,15.0,0.4717692,20,0,0,0
15,5,78.0,0.4221447,7,49.0,0.1246884,10,33.0,0.1210019,11,8.0,0.5082411,21,28.0,0.4315677,18,0,0,0
9,3,103.0,0.1605555,1,39.0,0.2237041,28,15.0,0.4701412,14,0,0,0,0,0,0,0,0,0
13,5,41.0,0.2482203,22,16.0,0.4850557,4,83.0,0.4345909,16,78.0,0.4402888,14,87.0,0.3435406,12,0,0,0
